Month,Sales
2001-04,2639.92225
2001-05,2378.432321
2001-06,2741.265237
2001-07,1709.068149
2001-08,1151.056147
2001-09,2522.314339
2001-10,2790.060008
2001-11,1545.167762
2001-12,1370.007044
2002-01,1541.414319
2002-02,1625.241234
2002-03,1963.05119
2002-04,2024.34043
2002-05,1823.825193
2002-06,2102.052077
2002-07,1310.544563
2002-08,882.6508036
2002-09,1934.156544
2002-10,2139.468796
2002-11,1184.862764
2002-12,1050.546337
2003-01,1181.984554
2003-02,1246.264559
2003-03,1505.303381
2003-04,2448.344291
2003-05,2205.830568
2003-06,2542.332864
2003-07,1585.041849
2003-08,1067.524525
2003-09,2339.271133
2003-10,2587.586621
2003-11,1433.03564
2003-12,1270.586255
2004-01,1429.554582
2004-02,1507.298215
2004-03,1820.593456
2004-04,2785.58756
2004-05,2509.669171
2004-06,2892.522438
2004-07,1803.370904
2004-08,1214.568984
2004-09,2661.490294
2004-10,2944.009601
2004-11,1630.426842
2004-12,1445.601127
2005-01,1626.466291
2005-02,1714.918597
2005-03,2071.36819
2005-04,2302.018368
2005-05,2073.998539
2005-06,2390.389689
2005-07,1490.311417
2005-08,1003.723649
2005-09,2199.463995
2005-10,2432.938844
2005-11,1347.389898
2005-12,1194.649343
2006-01,1344.116886
2006-02,1417.214152
2006-03,1711.785222
2006-04,2110
2006-05,1901
2006-06,2191
2006-07,1366
2006-08,920
2006-09,2016
2006-10,2230
2006-11,1235
2006-12,1095
2007-01,1232
2007-02,1299
2007-03,1569
2007-04,1195
2007-05,1593
2007-06,1697
2007-07,985
2007-08,968
2007-09,1670
2007-10,2753
2007-11,1597
2007-12,1179
2008-01,1288
2008-02,1555
2008-03,1762
2008-04,2101
2008-05,2752
2008-06,2783
2008-07,1353
2008-08,1846
2008-09,2807
2008-10,3157
2008-11,1205
2008-12,820
2009-01,1265
2009-02,1871
2009-03,2189
2009-04,2559
2009-05,2949
2009-06,3569
2009-07,1849
2009-08,1657
2009-09,3502
2009-10,4476
2009-11,2216
2009-12,1932
2010-01,2495
2010-02,2580
2010-03,3364
2010-04,4773
2010-05,5098
2010-06,4247
2010-07,2462
2010-08,2418
2010-09,5344
2010-10,7115
2010-11,3258
2010-12,2543
2011-01,2882
2011-02,3577
2011-03,4480
2011-04,4193
2011-05,3951
2011-06,5106
2011-07,2896
2011-08,2977
2011-09,6786
2011-10,8457
2011-11,3052
2011-12,2502
2012-01,2927
2012-02,3043
2012-03,4508
2012-04,4943
2012-05,6421
2012-06,7814
2012-07,3729
2012-08,3170
2012-09,7608
2012-10,11358
2012-11,6571
2012-12,3548
2013-01,4324
2013-02,4695
2013-03,6628
2013-04,9453
2013-05,9336
2013-06,9388
2013-07,4403
2013-08,3783
2013-09,11916
2013-10,14351
2013-11,6118
2013-12,3601
2014-01,4512
2014-02,4867
2014-03,6108
2014-04,7635
2014-05,7581
2014-06,9149
2014-07,4246
2014-08,3146
2014-09,9032
2014-10,10555
2014-11,3227
2014-12,1709
2015-01,2287
2015-02,2212
2015-03,2984